date,World_daily_cases
2020-12-12,634153.0
2020-12-13,530201.0
2020-12-14,523874.0
2020-12-15,636493.0
2020-12-16,732674.0
2020-12-17,738633.0
2020-12-18,719381.0
2020-12-19,611480.0
2020-12-20,533004.0
2020-12-21,548629.0
2020-12-22,649153.0
2020-12-23,694079.0
2020-12-24,666906.0
2020-12-25,465129.0
2020-12-26,512474.0
2020-12-27,437870.0
2020-12-28,496123.0
2020-12-29,662474.0
2020-12-30,760231.0
2020-12-31,723193.0
2021-01-01,532511.0
2021-01-02,625547.0
2021-01-03,532967.0
2021-01-04,553242.0
2021-01-05,738665.0
2021-01-06,781631.0
2021-01-07,879905.0
2021-01-08,800112.0
2021-01-09,762636.0
2021-01-10,589047.0
2021-01-11,618806.0
2021-01-12,704906.0
2021-01-13,747463.0
2021-01-14,754742.0
2021-01-15,765090.0
2021-01-16,638782.0
2021-01-17,528216.0
2021-01-18,515058.0
2021-01-19,607043.0
2021-01-20,691893.0
2021-01-21,656057.0
2021-01-22,658301.0
2021-01-23,567536.0
2021-01-24,445680.0
2021-01-25,496433.0
2021-01-26,555109.0
2021-01-27,597281.0
2021-01-28,614019.0
2021-01-29,589704.0
2021-01-30,514871.0
2021-01-31,382233.0
2021-02-01,445888.0
2021-02-02,457207.0
2021-02-03,521752.0
2021-02-04,466175.0
2021-02-05,534538.0
2021-02-06,372028.0
2021-02-07,397825.0
2021-02-08,315690.0
2021-02-09,427365.0
2021-02-10,435145.0
2021-02-11,440920.0
2021-02-12,429071.0
2021-02-13,372953.0
2021-02-14,293584.0
2021-02-15,283368.0
2021-02-16,350594.0
2021-02-17,395092.0
2021-02-18,403210.0
2021-02-19,412335.0
2021-02-20,370162.0
2021-02-21,314090.0
2021-02-22,288439.0
2021-02-23,388038.0
2021-02-24,444475.0
2021-02-25,447069.0
2021-02-26,442919.0
2021-02-27,388732.0
2021-02-28,303177.0
2021-03-01,302864.0
2021-03-02,310242.0
2021-03-03,440918.0
2021-03-04,453568.0
2021-03-05,447566.0
2021-03-06,411260.0
2021-03-07,369527.0
2021-03-08,298496.0
2021-03-09,412782.0
2021-03-10,467270.0
